log10Te_eV,log10ne_m3,log10scd_m3s,log10ccd_m3s
2.000000,21.301030,-13.997540,-13.997540
2.176090,21.301030,-13.992810,-13.992810
2.301030,21.301030,-13.988400,-13.988400
2.477120,21.301030,-13.983180,-13.983180
2.698970,21.301030,-13.974790,-13.974790
2.845100,21.301030,-13.967000,-13.967000
3.000000,21.301030,-13.957360,-13.957360
3.176090,21.301030,-13.940380,-13.940380
3.301030,21.301030,-13.922880,-13.922880
3.477120,21.301030,-13.900030,-13.900030
3.698970,21.301030,-13.859400,-13.859400
3.845100,21.301030,-13.819120,-13.819120
4.000000,21.301030,-13.772400,-13.772400
