Rm,C_90deg_120keV,C_45deg_reference,C_ratio_45_90_calculated,C_ratio_45_90_fitted
4,2.8204836415362733,1.2994350282485876,0.46071354895035155,0.4750108113739312
5,2.7482275964883804,,,0.5143936442739805
6,2.689190108990676,,,0.5465717617369515
7,2.6392746245405885,,,0.5737779723996
8,2.5724039829302985,1.6101694915254237,0.6259395888865146,0.5973450640393555
9,2.5659278716917835,,,0.6181327120999719
10,2.5389953537751335,,,0.6367278969394048
11,2.5146319277877778,,,0.6535492877562155
12,2.4923898624837673,,,0.6689060144023758
13,2.4719291458191313,,,0.6830328334953264
14,2.4529854810569094,,,0.6961122250650243
15,2.4353493510907454,,,0.7082888473024251
16,2.4188518532757506,1.7062146892655368,0.7053820542812,0.7196793167047798
